Timestamp_MS,Angulo,PWM_Reportado,Modo,Escalon_Set,Timestamp_Python
5628750,30.50,36.0,MANUAL,36,1775686368.8346
5628760,30.51,36.0,MANUAL,36,1775686368.8447
5628770,30.37,36.0,MANUAL,36,1775686368.8541
5628780,30.35,36.0,MANUAL,36,1775686368.8643
5628790,30.44,36.0,MANUAL,36,1775686368.8744
5628800,30.52,36.0,MANUAL,36,1775686368.8846
5628810,30.39,36.0,MANUAL,36,1775686368.8947
5628820,30.36,36.0,MANUAL,36,1775686368.9047
5628830,30.38,36.0,MANUAL,36,1775686368.9196
5628840,30.50,36.0,MANUAL,36,1775686368.9246
5628850,30.41,36.0,MANUAL,36,1775686368.9346
5628860,30.34,36.0,MANUAL,36,1775686368.9447
5628870,30.32,36.0,MANUAL,36,1775686368.9546
5628880,30.47,36.0,MANUAL,36,1775686368.9646
5628890,30.43,36.0,MANUAL,36,1775686368.9746
5628900,30.32,36.0,MANUAL,36,1775686368.9845
5628910,30.30,36.0,MANUAL,36,1775686368.9946
5628920,30.43,36.0,MANUAL,36,1775686369.0046
5628930,30.46,36.0,MANUAL,36,1775686369.0146
5628940,30.33,36.0,MANUAL,36,1775686369.0246
5628950,30.31,36.0,MANUAL,36,1775686369.0347
5628960,30.38,36.0,MANUAL,36,1775686369.0446
5628970,30.47,36.0,MANUAL,36,1775686369.0547
5628980,30.35,36.0,MANUAL,36,1775686369.0646
5628990,30.30,36.0,MANUAL,36,1775686369.0747
5629000,30.31,36.0,MANUAL,36,1775686369.0853
5629010,30.44,36.0,MANUAL,36,1775686369.0946
5629020,30.36,36.0,MANUAL,36,1775686369.1046
5629030,30.28,36.0,MANUAL,36,1775686369.1146
5629040,30.26,36.0,MANUAL,36,1775686369.1246
5629050,30.40,36.0,MANUAL,36,1775686369.1346
5629060,30.40,36.0,MANUAL,36,1775686369.1446
5629070,30.28,36.0,MANUAL,36,1775686369.1547
5629080,30.26,36.0,MANUAL,36,1775686369.1645
5629090,30.38,36.0,MANUAL,36,1775686369.1747
5629100,30.44,36.0,MANUAL,36,1775686369.1847
5629110,30.31,36.0,MANUAL,36,1775686369.195
5629120,30.28,36.0,MANUAL,36,1775686369.2045
5629130,30.26,36.0,MANUAL,36,1775686369.2145
5629140,30.39,36.0,MANUAL,36,1775686369.2243
5629150,30.36,36.0,MANUAL,36,1775686369.2348
5629160,30.25,36.0,MANUAL,36,1775686369.2446
5629170,30.22,36.0,MANUAL,36,1775686369.2545
5629180,30.34,36.0,MANUAL,36,1775686369.2646
5629190,30.38,36.0,MANUAL,36,1775686369.2748
5629200,30.24,36.0,MANUAL,36,1775686369.2846
5629210,30.21,36.0,MANUAL,36,1775686369.2946
5629220,30.28,36.0,MANUAL,36,1775686369.3046
5629230,30.39,36.0,MANUAL,36,1775686369.3145
5629240,30.28,36.0,MANUAL,36,1775686369.3246
5629250,30.24,36.0,MANUAL,36,1775686369.3345
5629260,30.24,36.0,MANUAL,36,1775686369.3446
5629270,30.38,36.0,MANUAL,36,1775686369.3546
5629280,30.33,36.0,MANUAL,36,1775686369.3646
