Timestamp_MS,Angulo,PWM,Modo
804360,1.05,10.0,MANUAL
804370,1.06,10.0,MANUAL
804380,1.08,10.0,MANUAL
804390,1.09,10.0,MANUAL
804400,1.10,10.0,MANUAL
804410,1.12,10.0,MANUAL
804420,1.14,10.0,MANUAL
804430,1.16,10.0,MANUAL
804440,1.17,10.0,MANUAL
804450,1.19,10.0,MANUAL
804460,1.22,10.0,MANUAL
804470,1.23,10.0,MANUAL
804480,1.23,10.0,MANUAL
804490,1.25,10.0,MANUAL
804500,1.28,10.0,MANUAL
804510,1.29,10.0,MANUAL
804520,1.30,10.0,MANUAL
804530,1.32,10.0,MANUAL
804540,1.33,10.0,MANUAL
804550,1.35,10.0,MANUAL
804560,1.37,10.0,MANUAL
804570,1.39,10.0,MANUAL
804580,1.40,10.0,MANUAL
804590,1.42,10.0,MANUAL
804600,1.45,10.0,MANUAL
804610,1.47,10.0,MANUAL
804620,1.49,10.0,MANUAL
804630,1.51,10.0,MANUAL
804640,1.53,10.0,MANUAL
804650,1.55,10.0,MANUAL
804660,1.57,10.0,MANUAL
804670,1.58,10.0,MANUAL
804680,1.60,10.0,MANUAL
804690,1.62,10.0,MANUAL
804700,1.64,10.0,MANUAL
804710,1.66,10.0,MANUAL
804720,1.69,10.0,MANUAL
804730,1.72,10.0,MANUAL
804740,1.74,10.0,MANUAL
804750,1.77,10.0,MANUAL
804760,1.80,10.0,MANUAL
804770,1.83,10.0,MANUAL
804780,1.86,10.0,MANUAL
804790,1.89,10.0,MANUAL
804800,1.92,10.0,MANUAL
804810,1.95,10.0,MANUAL
804820,1.99,10.0,MANUAL
804830,2.01,10.0,MANUAL
804840,2.05,10.0,MANUAL
804850,2.08,10.0,MANUAL
804860,2.12,10.0,MANUAL
804870,2.16,10.0,MANUAL
804880,2.20,10.0,MANUAL
804890,2.23,10.0,MANUAL
804900,2.27,10.0,MANUAL
804910,2.32,10.0,MANUAL
804920,2.35,10.0,MANUAL
804930,2.39,10.0,MANUAL
804940,2.43,10.0,MANUAL
804950,2.46,10.0,MANUAL
804960,2.50,10.0,MANUAL
804970,2.54,10.0,MANUAL
804980,2.57,10.0,MANUAL
804990,2.61,10.0,MANUAL
805000,2.64,10.0,MANUAL
805010,2.67,10.0,MANUAL
805020,2.71,10.0,MANUAL
805030,2.75,10.0,MANUAL
805040,2.78,10.0,MANUAL
805050,2.82,10.0,MANUAL
805060,2.86,10.0,MANUAL
805070,2.89,10.0,MANUAL
805080,2.93,10.0,MANUAL
805090,2.96,10.0,MANUAL
805100,2.99,10.0,MANUAL
805110,3.02,10.0,MANUAL
805120,3.05,10.0,MANUAL
805130,3.07,10.0,MANUAL
805140,3.10,10.0,MANUAL
805150,3.13,10.0,MANUAL
805160,3.15,10.0,MANUAL
805170,3.18,10.0,MANUAL
805180,3.20,10.0,MANUAL
805190,3.23,10.0,MANUAL
805200,3.25,10.0,MANUAL
805210,3.27,10.0,MANUAL
805220,3.29,10.0,MANUAL
805230,3.31,10.0,MANUAL
805240,3.33,10.0,MANUAL
805250,3.35,10.0,MANUAL
805260,3.36,10.0,MANUAL
805270,3.37,10.0,MANUAL
805280,3.39,10.0,MANUAL
805290,3.40,10.0,MANUAL
805300,3.41,10.0,MANUAL
805310,3.42,10.0,MANUAL
805320,3.43,10.0,MANUAL
805330,3.44,10.0,MANUAL
805340,3.45,10.0,MANUAL
805350,3.46,10.0,MANUAL
805360,3.47,10.0,MANUAL
805370,3.47,10.0,MANUAL
805380,3.47,10.0,MANUAL
805390,3.48,10.0,MANUAL
805400,3.48,10.0,MANUAL
805410,3.48,10.0,MANUAL
805420,3.49,10.0,MANUAL
805430,3.49,10.0,MANUAL
805440,3.49,10.0,MANUAL
805450,3.50,10.0,MANUAL
805460,3.50,10.0,MANUAL
